Time Serie,,,EU/US,change %,c change %,,,UK/US,change %,c change %,,,INDIA/US,change %,c change %,,,SRLNK/US,change %,c change %
7/24/02,,,1.0055,-0.12%,3.564%,,,0.6351,-0.56%,4.061%,,,48.7,-0.041%,11.326%,,,96.24,0.01%,29.359%
7/25/02,,,1.0003,-0.52%,3.047%,,,0.6348,-0.05%,4.014%,,,48.71,0.021%,11.347%,,,96.26,0.02%,29.380%
7/26/02,,,1.0119,1.16%,4.206%,,,0.6396,0.76%,4.770%,,,48.71,0.000%,11.347%,,,96.2,-0.06%,29.318%
7/29/02,,,1.0226,1.06%,5.264%,,,0.6423,0.42%,5.192%,,,48.76,0.103%,11.449%,,,96.17,-0.03%,29.286%
7/30/02,,,1.0122,-1.02%,4.247%,,,0.6359,-1.00%,4.195%,,,48.74,-0.041%,11.408%,,,96.2,0.03%,29.318%
7/31/02,,,1.0208,0.85%,5.096%,,,0.64,0.64%,4.840%,,,48.69,-0.103%,11.306%,,,96.23,0.03%,29.349%
8/1/02,,,1.016,-0.47%,4.626%,,,0.6419,0.30%,5.137%,,,48.68,-0.021%,11.285%,,,96.3,0.07%,29.422%
8/2/02,,,1.0119,-0.40%,4.222%,,,0.6366,-0.83%,4.311%,,,48.68,0.000%,11.285%,,,96.3,0.00%,29.422%
8/5/02,,,1.0156,0.37%,4.588%,,,0.6384,0.28%,4.594%,,,48.67,-0.021%,11.265%,,,96.3,0.00%,29.422%
8/6/02,,,1.0373,2.14%,6.725%,,,0.6501,1.83%,6.427%,,,48.73,0.123%,11.388%,,,96.32,0.02%,29.442%
8/7/02,,,1.0269,-1.00%,5.722%,,,0.6513,0.18%,6.611%,,,48.7,-0.062%,11.326%,,,96.22,-0.10%,29.339%
8/8/02,,,1.0359,0.88%,6.599%,,,0.6545,0.49%,7.103%,,,48.68,-0.041%,11.285%,,,96.2,-0.02%,29.318%
8/9/02,,,1.0294,-0.63%,5.971%,,,0.6564,0.29%,7.393%,,,48.67,-0.021%,11.265%,,,96.23,0.03%,29.349%
8/12/02,,,1.0227,-0.65%,5.320%,,,0.6529,-0.53%,6.860%,,,48.64,-0.062%,11.203%,,,96.22,-0.01%,29.339%
8/13/02,,,1.0218,-0.09%,5.232%,,,0.6532,0.05%,6.906%,,,48.62,-0.041%,11.162%,,,96.2,-0.02%,29.318%
8/14/02,,,1.0135,-0.81%,4.420%,,,0.6476,-0.86%,6.048%,,,48.63,0.021%,11.183%,,,96.15,-0.05%,29.266%
8/15/02,,,1.0187,0.51%,4.933%,,,0.651,0.53%,6.574%,,,48.63,0.000%,11.183%,,,96.25,0.10%,29.370%
8/16/02,,,1.0167,-0.20%,4.737%,,,0.6505,-0.08%,6.497%,,,48.6,-0.062%,11.121%,,,96.3,0.05%,29.422%
8/19/02,,,1.023,0.62%,5.356%,,,0.6548,0.66%,7.158%,,,48.61,0.021%,11.141%,,,96.27,-0.03%,29.391%
8/20/02,,,1.0226,-0.04%,5.317%,,,0.6551,0.05%,7.204%,,,48.59,-0.041%,11.100%,,,96.3,0.03%,29.422%
8/21/02,,,1.0208,-0.18%,5.141%,,,0.6538,-0.20%,7.005%,,,48.56,-0.062%,11.039%,,,96.35,0.05%,29.474%
8/22/02,,,1.0312,1.02%,6.160%,,,0.6582,0.67%,7.678%,,,48.55,-0.021%,11.018%,,,96.35,0.00%,29.474%
8/23/02,,,1.0282,-0.29%,5.869%,,,0.6572,-0.15%,7.526%,,,48.55,0.000%,11.018%,,,96.33,-0.02%,29.453%
8/26/02,,,1.0276,-0.06%,5.811%,,,0.6563,-0.14%,7.389%,,,48.55,0.000%,11.018%,,,96.36,0.03%,29.484%
8/27/02,,,1.019,-0.84%,4.974%,,,0.6534,-0.44%,6.947%,,,48.53,-0.041%,10.977%,,,96.33,-0.03%,29.453%
8/28/02,,,1.0183,-0.07%,4.905%,,,0.6509,-0.38%,6.565%,,,48.6,0.144%,11.121%,,,96.29,-0.04%,29.411%
8/29/02,,,1.0174,-0.09%,4.817%,,,0.6458,-0.78%,5.781%,,,48.54,-0.123%,10.998%,,,96.25,-0.04%,29.370%
8/30/02,,,1.0198,0.24%,5.053%,,,0.6462,0.06%,5.843%,,,48.52,-0.041%,10.956%,,,96.35,0.10%,29.474%
9/3/02,,,1.0041,-1.54%,3.513%,,,0.64,-0.96%,4.884%,,,48.5,-0.041%,10.915%,,,96.25,-0.10%,29.370%
9/4/02,,,1.0078,0.37%,3.882%,,,0.6393,-0.11%,4.774%,,,48.48,-0.041%,10.874%,,,96.2,-0.05%,29.318%
9/5/02,,,1.009,0.12%,4.001%,,,0.6386,-0.11%,4.665%,,,48.5,0.041%,10.915%,,,96.11,-0.09%,29.224%
9/6/02,,,1.016,0.69%,4.694%,,,0.6411,0.39%,5.056%,,,48.57,0.144%,11.059%,,,96.1,-0.01%,29.214%
9/9/02,,,1.0186,0.26%,4.950%,,,0.6416,0.08%,5.134%,,,48.52,-0.103%,10.957%,,,96.1,0.00%,29.214%
9/10/02,,,1.0254,0.67%,5.618%,,,0.6433,0.26%,5.399%,,,48.52,0.000%,10.957%,,,96.1,0.00%,29.214%
9/11/02,,,1.0284,0.29%,5.911%,,,0.6455,0.34%,5.741%,,,48.48,-0.082%,10.874%,,,96.1,0.00%,29.214%
9/12/02,,,1.0245,-0.38%,5.531%,,,0.6431,-0.37%,5.369%,,,48.48,0.000%,10.874%,,,96.15,0.05%,29.266%
9/13/02,,,1.0264,0.19%,5.717%,,,0.6416,-0.23%,5.136%,,,48.47,-0.021%,10.853%,,,96.18,0.03%,29.297%
9/16/02,,,1.0285,0.20%,5.921%,,,0.6477,0.95%,6.087%,,,48.43,-0.083%,10.771%,,,96.15,-0.03%,29.266%
9/17/02,,,1.0325,0.39%,6.310%,,,0.6518,0.63%,6.720%,,,48.45,0.041%,10.812%,,,96.15,0.00%,29.266%
9/18/02,,,1.0216,-1.06%,5.255%,,,0.6441,-1.18%,5.539%,,,48.43,-0.041%,10.771%,,,96.16,0.01%,29.277%
9/19/02,,,1.0186,-0.29%,4.961%,,,0.6433,-0.12%,5.414%,,,48.44,0.021%,10.792%,,,96.23,0.07%,29.349%
9/20/02,,,1.0164,-0.22%,4.745%,,,0.6428,-0.08%,5.337%,,,48.46,0.041%,10.833%,,,96.23,0.00%,29.349%
9/23/02,,,1.0181,0.17%,4.912%,,,0.6421,-0.11%,5.228%,,,48.44,-0.041%,10.792%,,,96.25,0.02%,29.370%
9/24/02,,,1.0188,0.07%,4.981%,,,0.6425,0.06%,5.290%,,,48.42,-0.041%,10.750%,,,96.23,-0.02%,29.349%
9/25/02,,,1.0207,0.19%,5.167%,,,0.64,-0.39%,4.901%,,,48.43,0.021%,10.771%,,,96.3,0.07%,29.422%
9/26/02,,,1.0251,0.43%,5.599%,,,0.6425,0.39%,5.292%,,,48.43,0.000%,10.771%,,,96.35,0.05%,29.474%
9/27/02,,,1.0233,-0.18%,5.423%,,,0.6432,0.11%,5.401%,,,48.4,-0.062%,10.709%,,,96.4,0.05%,29.526%
9/30/02,,,1.0122,-1.08%,4.338%,,,0.6369,-0.98%,4.421%,,,48.4,0.000%,10.709%,,,96.4,0.00%,29.526%
10/1/02,,,1.0143,0.21%,4.546%,,,0.6366,-0.05%,4.374%,,,48.39,-0.021%,10.688%,,,96.4,0.00%,29.526%
10/2/02,,,1.0161,0.18%,4.723%,,,0.6388,0.35%,4.720%,,,48.39,0.000%,10.688%,,,96.4,0.00%,29.526%
10/3/02,,,1.0131,-0.30%,4.428%,,,0.6368,-0.31%,4.406%,,,48.38,-0.021%,10.668%,,,96.4,0.00%,29.526%
10/4/02,,,1.0182,0.50%,4.931%,,,0.6373,0.08%,4.485%,,,48.38,0.000%,10.668%,,,96.45,0.05%,29.578%
10/7/02,,,1.0187,0.05%,4.980%,,,0.6393,0.31%,4.799%,,,48.35,-0.062%,10.606%,,,96.4,-0.05%,29.526%
10/8/02,,,1.0208,0.21%,5.187%,,,0.6423,0.47%,5.268%,,,48.39,0.083%,10.688%,,,96.4,0.00%,29.526%
10/9/02,,,1.0134,-0.72%,4.462%,,,0.6412,-0.17%,5.097%,,,48.34,-0.103%,10.585%,,,96.4,0.00%,29.526%
10/10/02,,,1.0141,0.07%,4.531%,,,0.64,-0.19%,4.910%,,,48.38,0.083%,10.668%,,,96.4,0.00%,29.526%
10/11/02,,,1.0148,0.07%,4.600%,,,0.6408,0.13%,5.035%,,,48.36,-0.041%,10.626%,,,96.4,0.00%,29.526%
10/15/02,,,1.0194,0.45%,5.053%,,,0.6434,0.41%,5.440%,,,48.36,0.000%,10.626%,,,96.4,0.00%,29.526%
10/16/02,,,1.0179,-0.15%,4.906%,,,0.6434,0.00%,5.440%,,,48.41,0.103%,10.730%,,,96.4,0.00%,29.526%
10/17/02,,,1.029,1.09%,5.996%,,,0.6441,0.11%,5.549%,,,48.42,0.021%,10.751%,,,96.4,0.00%,29.526%
10/18/02,,,1.0301,0.11%,6.103%,,,0.6468,0.42%,5.968%,,,48.44,0.041%,10.792%,,,96.4,0.00%,29.526%
10/21/02,,,1.0275,-0.25%,5.851%,,,0.6486,0.28%,6.247%,,,48.38,-0.124%,10.668%,,,96.4,0.00%,29.526%
10/22/02,,,1.0223,-0.51%,5.345%,,,0.6467,-0.29%,5.954%,,,48.39,0.021%,10.689%,,,96.4,0.00%,29.526%
10/23/02,,,1.0233,0.10%,5.443%,,,0.6452,-0.23%,5.722%,,,48.35,-0.083%,10.606%,,,96.4,0.00%,29.526%
10/24/02,,,1.0265,0.31%,5.755%,,,0.6461,0.14%,5.861%,,,48.42,0.145%,10.751%,,,96.4,0.00%,29.526%
10/25/02,,,1.0239,-0.25%,5.502%,,,0.6438,-0.36%,5.505%,,,48.41,-0.021%,10.730%,,,96.4,0.00%,29.526%
10/28/02,,,1.016,-0.77%,4.730%,,,0.6409,-0.45%,5.055%,,,48.45,0.083%,10.813%,,,96.4,0.00%,29.526%
10/29/02,,,1.0151,-0.09%,4.642%,,,0.6416,0.11%,5.164%,,,48.41,-0.083%,10.730%,,,96.4,0.00%,29.526%
10/30/02,,,1.0168,0.17%,4.809%,,,0.6423,0.11%,5.273%,,,48.35,-0.124%,10.606%,,,96.4,0.00%,29.526%
10/31/02,,,1.012,-0.47%,4.337%,,,0.6398,-0.39%,4.884%,,,48.39,0.083%,10.689%,,,96.4,0.00%,29.526%
11/1/02,,,1.0029,-0.90%,3.438%,,,0.6395,-0.05%,4.837%,,,48.36,-0.062%,10.627%,,,96.4,0.00%,29.526%
11/4/02,,,1.0047,0.18%,3.618%,,,0.6433,0.59%,5.431%,,,48.36,0.000%,10.627%,,,96.4,0.00%,29.526%
11/5/02,,,1.0006,-0.41%,3.209%,,,0.64,-0.51%,4.918%,,,48.35,-0.021%,10.606%,,,96.4,0.00%,29.526%
11/6/02,,,1.0026,0.20%,3.409%,,,0.6414,0.22%,5.137%,,,48.36,0.021%,10.627%,,,96.45,0.05%,29.578%
11/7/02,,,0.9909,-1.17%,2.242%,,,0.6331,-1.29%,3.843%,,,48.34,-0.041%,10.586%,,,96.45,0.00%,29.578%
11/8/02,,,0.9863,-0.46%,1.778%,,,0.6283,-0.76%,3.085%,,,48.29,-0.103%,10.482%,,,96.45,0.00%,29.578%
11/12/02,,,0.9896,0.33%,2.113%,,,0.6298,0.24%,3.324%,,,48.3,0.021%,10.503%,,,96.45,0.00%,29.578%
11/13/02,,,0.994,0.44%,2.557%,,,0.6309,0.17%,3.498%,,,48.3,0.000%,10.503%,,,96.45,0.00%,29.578%
11/14/02,,,0.9966,0.26%,2.819%,,,0.6334,0.40%,3.894%,,,48.29,-0.021%,10.482%,,,96.45,0.00%,29.578%
11/15/02,,,0.9919,-0.47%,2.347%,,,0.6333,-0.02%,3.879%,,,48.23,-0.124%,10.358%,,,96.45,0.00%,29.578%
11/18/02,,,0.9918,-0.01%,2.337%,,,0.6333,0.00%,3.879%,,,48.23,0.000%,10.358%,,,96.45,0.00%,29.578%
11/19/02,,,0.9894,-0.24%,2.095%,,,0.6297,-0.57%,3.310%,,,48.23,0.000%,10.358%,,,96.45,0.00%,29.578%
11/20/02,,,0.9976,0.83%,2.924%,,,0.6349,0.83%,4.136%,,,48.25,0.041%,10.399%,,,96.45,0.00%,29.578%
11/21/02,,,1.0016,0.40%,3.325%,,,0.6348,-0.02%,4.120%,,,48.21,-0.083%,10.317%,,,96.45,0.00%,29.578%
11/22/02,,,1.0034,0.18%,3.505%,,,0.6338,-0.16%,3.963%,,,48.22,0.021%,10.337%,,,96.45,0.00%,29.578%
11/25/02,,,1.0063,0.29%,3.794%,,,0.6383,0.71%,4.673%,,,48.23,0.021%,10.358%,,,96.45,0.00%,29.578%
11/26/02,,,1.0088,0.25%,4.042%,,,0.6458,1.17%,5.848%,,,48.24,0.021%,10.379%,,,96.45,0.00%,29.578%
11/27/02,,,1.0106,0.18%,4.221%,,,0.6477,0.29%,6.142%,,,48.27,0.062%,10.441%,,,96.3,-0.16%,29.422%
11/29/02,,,1.0068,-0.38%,3.845%,,,0.643,-0.73%,5.416%,,,48.36,0.186%,10.627%,,,96.3,0.00%,29.422%
12/2/02,,,1.0074,0.06%,3.904%,,,0.6429,-0.02%,5.401%,,,48.32,-0.083%,10.545%,,,96.3,0.00%,29.422%
12/3/02,,,1.0032,-0.42%,3.487%,,,0.6375,-0.84%,4.561%,,,48.28,-0.083%,10.462%,,,96.65,0.36%,29.786%
12/4/02,,,1.0001,-0.31%,3.178%,,,0.6377,0.03%,4.592%,,,48.23,-0.104%,10.358%,,,96.65,0.00%,29.786%
12/5/02,,,1.0011,0.10%,3.278%,,,0.6366,-0.17%,4.420%,,,48.27,0.083%,10.441%,,,96.75,0.10%,29.889%
12/6/02,,,0.992,-0.91%,2.369%,,,0.6357,-0.14%,4.278%,,,48.24,-0.062%,10.379%,,,96.75,0.00%,29.889%
12/9/02,,,0.9913,-0.07%,2.299%,,,0.6335,-0.35%,3.932%,,,48.24,0.000%,10.379%,,,96.75,0.00%,29.889%
12/10/02,,,0.9928,0.15%,2.450%,,,0.637,0.55%,4.485%,,,48.24,0.000%,10.379%,,,96.7,-0.05%,29.837%
12/11/02,,,0.9918,-0.10%,2.349%,,,0.6352,-0.28%,4.202%,,,48.18,-0.124%,10.255%,,,96.7,0.00%,29.837%
12/12/02,,,0.9815,-1.04%,1.311%,,,0.6329,-0.36%,3.840%,,,48.22,0.083%,10.338%,,,96.7,0.00%,29.837%
12/13/02,,,0.9779,-0.37%,0.944%,,,0.6291,-0.60%,3.240%,,,48.2,-0.041%,10.296%,,,96.7,0.00%,29.837%
12/16/02,,,0.9794,0.15%,1.097%,,,0.6287,-0.06%,3.176%,,,48.18,-0.041%,10.255%,,,96.75,0.05%,29.889%
12/17/02,,,0.974,-0.55%,0.546%,,,0.6264,-0.37%,2.810%,,,48.16,-0.042%,10.213%,,,96.75,0.00%,29.889%
12/18/02,,,0.9752,0.12%,0.669%,,,0.625,-0.22%,2.587%,,,48.15,-0.021%,10.192%,,,96.75,0.00%,29.889%
12/19/02,,,0.9788,0.37%,1.038%,,,0.6255,0.08%,2.667%,,,48.11,-0.083%,10.109%,,,96.75,0.00%,29.889%
12/20/02,,,0.9739,-0.50%,0.538%,,,0.6244,-0.18%,2.491%,,,48.03,-0.166%,9.943%,,,96.75,0.00%,29.889%
12/23/02,,,0.9788,0.50%,1.041%,,,0.6301,0.91%,3.404%,,,48.03,0.000%,9.943%,,,96.75,0.00%,29.889%
12/24/02,,,0.9704,-0.86%,0.183%,,,0.6266,-0.56%,2.848%,,,48.04,0.021%,9.964%,,,96.75,0.00%,29.889%
12/26/02,,,0.9654,-0.52%,-0.333%,,,0.6259,-0.11%,2.737%,,,48.05,0.021%,9.985%,,,96.7,-0.05%,29.837%
12/27/02,,,0.9605,-0.51%,-0.840%,,,0.6241,-0.29%,2.449%,,,48.01,-0.083%,9.902%,,,96.7,0.00%,29.837%
12/30/02,,,0.956,-0.47%,-1.309%,,,0.6233,-0.13%,2.321%,,,47.96,-0.104%,9.797%,,,96.75,0.05%,29.889%
12/31/02,,,0.9537,-0.24%,-1.549%,,,0.6213,-0.32%,2.000%,,,48,0.083%,9.881%,,,96.75,0.00%,29.889%
1/2/03,,,0.9652,1.21%,-0.343%,,,0.626,0.76%,2.756%,,,48.05,0.104%,9.985%,,,96.75,0.00%,29.889%
1/3/03,,,0.9599,-0.55%,-0.892%,,,0.6232,-0.45%,2.309%,,,48.03,-0.042%,9.943%,,,96.75,0.00%,29.889%
1/6/03,,,0.9552,-0.49%,-1.382%,,,0.6219,-0.21%,2.101%,,,48.01,-0.042%,9.902%,,,96.75,0.00%,29.889%
1/7/03,,,0.9598,0.48%,-0.901%,,,0.6229,0.16%,2.261%,,,48,-0.021%,9.881%,,,96.85,0.10%,29.993%
1/8/03,,,0.9572,-0.27%,-1.171%,,,0.6225,-0.06%,2.197%,,,48,0.000%,9.881%,,,96.85,0.00%,29.993%
1/9/03,,,0.9554,-0.19%,-1.359%,,,0.6236,0.18%,2.374%,,,47.96,-0.083%,9.798%,,,96.8,-0.05%,29.941%
1/10/03,,,0.9492,-0.65%,-2.008%,,,0.6219,-0.27%,2.101%,,,48,0.083%,9.881%,,,96.75,-0.05%,29.889%
1/13/03,,,0.9492,0.00%,-2.008%,,,0.6238,0.31%,2.407%,,,47.96,-0.083%,9.798%,,,96.8,0.05%,29.941%
1/14/03,,,0.946,-0.34%,-2.346%,,,0.6223,-0.24%,2.166%,,,47.95,-0.021%,9.777%,,,96.8,0.00%,29.941%
1/15/03,,,0.9455,-0.05%,-2.398%,,,0.6239,0.26%,2.423%,,,47.97,0.042%,9.818%,,,96.8,0.00%,29.941%
1/16/03,,,0.9462,0.07%,-2.324%,,,0.6222,-0.27%,2.151%,,,47.96,-0.021%,9.798%,,,96.8,0.00%,29.941%
1/17/03,,,0.9381,-0.86%,-3.180%,,,0.6183,-0.63%,1.524%,,,47.96,0.000%,9.798%,,,96.8,0.00%,29.941%
1/21/03,,,0.9366,-0.16%,-3.340%,,,0.6202,0.31%,1.831%,,,47.97,0.021%,9.818%,,,96.8,0.00%,29.941%
1/22/03,,,0.9321,-0.48%,-3.821%,,,0.6187,-0.24%,1.590%,,,47.93,-0.083%,9.735%,,,96.8,0.00%,29.941%
1/23/03,,,0.9288,-0.35%,-4.175%,,,0.616,-0.44%,1.153%,,,47.92,-0.021%,9.714%,,,96.8,0.00%,29.941%
1/24/03,,,0.9238,-0.54%,-4.713%,,,0.6127,-0.54%,0.617%,,,47.9,-0.042%,9.672%,,,96.82,0.02%,29.962%
1/27/03,,,0.9227,-0.12%,-4.832%,,,0.6116,-0.18%,0.438%,,,48.1,0.418%,10.090%,,,96.84,0.02%,29.982%
1/28/03,,,0.9231,0.04%,-4.789%,,,0.6098,-0.29%,0.144%,,,47.92,-0.374%,9.716%,,,96.82,-0.02%,29.962%
1/29/03,,,0.9207,-0.26%,-5.049%,,,0.6076,-0.36%,-0.217%,,,47.83,-0.188%,9.528%,,,96.9,0.08%,30.044%
1/30/03,,,0.928,0.79%,-4.256%,,,0.6067,-0.15%,-0.365%,,,47.85,0.042%,9.570%,,,96.85,-0.05%,29.993%
1/31/03,,,0.9312,0.34%,-3.911%,,,0.608,0.21%,-0.151%,,,47.83,-0.042%,9.528%,,,96.95,0.10%,30.096%
2/3/03,,,0.9293,-0.20%,-4.115%,,,0.6096,0.26%,0.112%,,,47.8,-0.063%,9.465%,,,96.85,-0.10%,29.993%
2/4/03,,,0.9195,-1.05%,-5.170%,,,0.6068,-0.46%,-0.347%,,,47.82,0.042%,9.507%,,,96.85,0.00%,29.993%
2/5/03,,,0.9223,0.30%,-4.865%,,,0.6077,0.15%,-0.199%,,,47.77,-0.105%,9.403%,,,96.88,0.03%,30.024%
2/6/03,,,0.9235,0.13%,-4.735%,,,0.6115,0.63%,0.426%,,,47.8,0.063%,9.465%,,,96.86,-0.02%,30.003%
2/7/03,,,0.9258,0.25%,-4.486%,,,0.6141,0.43%,0.852%,,,47.72,-0.167%,9.298%,,,96.88,0.02%,30.024%
2/10/03,,,0.9311,0.57%,-3.914%,,,0.6144,0.05%,0.900%,,,47.69,-0.063%,9.235%,,,96.9,0.02%,30.044%
2/11/03,,,0.9305,-0.06%,-3.978%,,,0.6176,0.52%,1.421%,,,47.7,0.021%,9.256%,,,96.89,-0.01%,30.034%
2/12/03,,,0.9332,0.29%,-3.688%,,,0.619,0.23%,1.648%,,,47.89,0.398%,9.654%,,,96.89,0.00%,30.034%
2/13/03,,,0.923,-1.09%,-4.781%,,,0.6169,-0.34%,1.309%,,,47.87,-0.042%,9.613%,,,96.85,-0.04%,29.993%
2/14/03,,,0.926,0.33%,-4.456%,,,0.6209,0.65%,1.957%,,,47.92,0.104%,9.717%,,,96.87,0.02%,30.013%
2/18/03,,,0.9339,0.85%,-3.603%,,,0.6281,1.16%,3.117%,,,47.75,-0.355%,9.362%,,,96.88,0.01%,30.024%
2/19/03,,,0.9308,-0.33%,-3.935%,,,0.6267,-0.22%,2.894%,,,47.7,-0.105%,9.258%,,,96.89,0.01%,30.034%
2/20/03,,,0.9241,-0.72%,-4.654%,,,0.6279,0.19%,3.085%,,,47.65,-0.105%,9.153%,,,96.88,-0.01%,30.024%
2/21/03,,,0.927,0.31%,-4.341%,,,0.6304,0.40%,3.483%,,,47.65,0.000%,9.153%,,,96.87,-0.01%,30.013%
2/24/03,,,0.9274,0.04%,-4.298%,,,0.6305,0.02%,3.499%,,,47.74,0.189%,9.342%,,,96.87,0.00%,30.013%
2/25/03,,,0.9275,0.01%,-4.287%,,,0.6358,0.84%,4.340%,,,47.74,0.000%,9.342%,,,96.9,0.03%,30.044%
2/26/03,,,0.9262,-0.14%,-4.427%,,,0.6327,-0.49%,3.852%,,,47.67,-0.147%,9.195%,,,96.88,-0.02%,30.024%
2/27/03,,,0.9291,0.31%,-4.114%,,,0.633,0.05%,3.900%,,,47.66,-0.021%,9.174%,,,96.9,0.02%,30.044%
2/28/03,,,0.9277,-0.15%,-4.264%,,,0.6354,0.38%,4.279%,,,47.66,0.000%,9.174%,,,96.92,0.02%,30.065%
3/3/03,,,0.9229,-0.52%,-4.782%,,,0.6347,-0.11%,4.169%,,,47.7,0.084%,9.258%,,,96.95,0.03%,30.096%
3/4/03,,,0.9189,-0.43%,-5.215%,,,0.6321,-0.41%,3.759%,,,47.85,0.314%,9.572%,,,96.91,-0.04%,30.055%
3/5/03,,,0.9118,-0.77%,-5.988%,,,0.6249,-1.14%,2.620%,,,47.8,-0.104%,9.468%,,,96.89,-0.02%,30.034%
3/6/03,,,0.9093,-0.27%,-6.262%,,,0.6231,-0.29%,2.332%,,,47.63,-0.356%,9.112%,,,96.94,0.05%,30.086%
3/7/03,,,0.9079,-0.15%,-6.416%,,,0.6242,0.18%,2.509%,,,47.8,0.357%,9.469%,,,96.95,0.01%,30.096%
3/10/03,,,0.904,-0.43%,-6.846%,,,0.6247,0.08%,2.589%,,,47.7,-0.209%,9.260%,,,96.96,0.01%,30.106%
3/11/03,,,0.9068,0.31%,-6.536%,,,0.6235,-0.19%,2.397%,,,47.64,-0.126%,9.134%,,,96.95,-0.01%,30.096%
3/12/03,,,0.9072,0.04%,-6.492%,,,0.62,-0.56%,1.835%,,,47.65,0.021%,9.155%,,,96.96,0.01%,30.106%
3/13/03,,,0.92,1.41%,-5.081%,,,0.6228,0.45%,2.287%,,,47.66,0.021%,9.176%,,,96.9,-0.06%,30.044%
3/14/03,,,0.9324,1.35%,-3.733%,,,0.6321,1.49%,3.780%,,,47.66,0.000%,9.176%,,,96.95,0.05%,30.096%
3/17/03,,,0.9429,1.13%,-2.607%,,,0.6377,0.89%,4.666%,,,47.68,0.042%,9.218%,,,96.94,-0.01%,30.086%
3/18/03,,,0.9413,-0.17%,-2.777%,,,0.64,0.36%,5.027%,,,47.68,0.000%,9.218%,,,96.94,0.00%,30.086%
3/19/03,,,0.9443,0.32%,-2.458%,,,0.6391,-0.14%,4.886%,,,47.72,0.084%,9.302%,,,96.95,0.01%,30.096%
3/20/03,,,0.9422,-0.22%,-2.680%,,,0.6382,-0.14%,4.745%,,,47.75,0.063%,9.365%,,,96.96,0.01%,30.106%
3/21/03,,,0.9483,0.65%,-2.033%,,,0.6386,0.06%,4.808%,,,47.66,-0.188%,9.176%,,,96.96,0.00%,30.106%
3/24/03,,,0.9395,-0.93%,-2.961%,,,0.635,-0.56%,4.244%,,,47.68,0.042%,9.218%,,,96.96,0.00%,30.106%
3/25/03,,,0.9369,-0.28%,-3.238%,,,0.6367,0.27%,4.512%,,,47.64,-0.084%,9.135%,,,96.92,-0.04%,30.065%
3/26/03,,,0.9366,-0.03%,-3.270%,,,0.6352,-0.24%,4.276%,,,47.64,0.000%,9.135%,,,96.95,0.03%,30.096%
3/27/03,,,0.9339,-0.29%,-3.558%,,,0.6379,0.43%,4.701%,,,47.59,-0.105%,9.030%,,,96.95,0.00%,30.096%
3/28/03,,,0.9292,-0.50%,-4.061%,,,0.638,0.02%,4.717%,,,47.55,-0.084%,8.946%,,,96.95,0.00%,30.096%
3/31/03,,,0.9174,-1.27%,-5.331%,,,0.6333,-0.74%,3.980%,,,47.53,-0.042%,8.903%,,,96.97,0.02%,30.117%
4/1/03,,,0.9171,-0.03%,-5.364%,,,0.6342,0.14%,4.122%,,,47.45,-0.168%,8.735%,,,96.9,-0.07%,30.045%
4/2/03,,,0.9289,1.29%,-4.077%,,,0.6386,0.69%,4.816%,,,47.4,-0.105%,8.630%,,,96.96,0.06%,30.106%
4/3/03,,,0.9314,0.27%,-3.808%,,,0.6362,-0.38%,4.440%,,,47.43,0.063%,8.693%,,,96.98,0.02%,30.127%
4/4/03,,,0.9336,0.24%,-3.572%,,,0.6411,0.77%,5.211%,,,47.44,0.021%,8.714%,,,96.97,-0.01%,30.117%
4/7/03,,,0.9415,0.85%,-2.726%,,,0.6452,0.64%,5.850%,,,47.44,0.000%,8.714%,,,96.92,-0.05%,30.065%
4/8/03,,,0.936,-0.58%,-3.310%,,,0.6449,-0.05%,5.804%,,,47.46,0.042%,8.756%,,,96.97,0.05%,30.117%
4/9/03,,,0.9327,-0.35%,-3.662%,,,0.6426,-0.36%,5.447%,,,47.45,-0.021%,8.735%,,,96.99,0.02%,30.137%
4/10/03,,,0.9257,-0.75%,-4.413%,,,0.6362,-1.00%,4.451%,,,47.4,-0.105%,8.630%,,,96.95,-0.04%,30.096%
4/11/03,,,0.9301,0.48%,-3.938%,,,0.6364,0.03%,4.482%,,,47.38,-0.042%,8.588%,,,96.99,0.04%,30.137%
4/14/03,,,0.9282,-0.20%,-4.142%,,,0.6364,0.00%,4.482%,,,47.44,0.127%,8.714%,,,96.99,0.00%,30.137%
4/15/03,,,0.9258,-0.26%,-4.400%,,,0.6367,0.05%,4.530%,,,47.36,-0.169%,8.546%,,,97.06,0.07%,30.210%
4/16/03,,,0.9198,-0.65%,-5.048%,,,0.6353,-0.22%,4.310%,,,47.38,0.042%,8.588%,,,97.06,0.00%,30.210%
4/17/03,,,0.9168,-0.33%,-5.375%,,,0.635,-0.05%,4.263%,,,47.34,-0.084%,8.503%,,,97.05,-0.01%,30.199%
4/18/03,,,0.9189,0.23%,-5.146%,,,0.6356,0.09%,4.357%,,,47.34,0.000%,8.503%,,,97.05,0.00%,30.199%
4/21/03,,,0.9211,0.24%,-4.906%,,,0.6414,0.91%,5.270%,,,47.38,0.084%,8.588%,,,96.85,-0.21%,29.993%
4/22/03,,,0.9119,-1.00%,-5.905%,,,0.6342,-1.12%,4.147%,,,47.34,-0.084%,8.504%,,,97.05,0.21%,30.200%
4/23/03,,,0.9133,0.15%,-5.751%,,,0.6323,-0.30%,3.847%,,,47.35,0.021%,8.525%,,,96.99,-0.06%,30.138%
